Date,Time,Object,Confidence,X1,Y1,X2,Y2
2026-07-07,06:15:26,person,0.88,72,156,639,473
2026-07-07,06:15:26,person,0.88,132,138,639,474
2026-07-07,06:15:27,person,0.82,155,135,639,474
2026-07-07,06:15:27,person,0.81,316,124,639,474
2026-07-07,06:15:27,person,0.87,336,87,639,472
2026-07-07,06:15:27,person,0.74,351,75,639,471
2026-07-07,06:15:27,person,0.68,263,37,639,469
2026-07-07,06:15:28,cat,0.74,387,235,639,473
2026-07-07,06:15:31,person,0.82,270,112,638,473
2026-07-07,06:15:31,person,0.65,247,191,638,472
2026-07-07,06:15:31,person,0.88,238,173,639,474
2026-07-07,06:15:32,person,0.87,236,171,639,473
2026-07-07,06:15:32,person,0.86,231,168,639,473
2026-07-07,06:15:32,person,0.87,230,150,639,474
2026-07-07,06:15:32,person,0.87,224,144,639,474
2026-07-07,06:15:33,person,0.88,222,118,639,473
2026-07-07,06:15:33,person,0.9,227,95,639,473
2026-07-07,06:15:33,person,0.89,222,104,639,474
2026-07-07,06:15:33,person,0.88,220,94,639,474
2026-07-07,06:15:33,person,0.89,217,87,639,473
2026-07-07,06:15:34,person,0.92,213,86,639,472
2026-07-07,06:15:34,person,0.9,211,111,639,473
2026-07-07,06:15:34,person,0.87,207,129,639,472
2026-07-07,06:15:34,person,0.87,205,107,639,472
2026-07-07,06:15:34,person,0.89,205,107,639,472
2026-07-07,06:15:35,person,0.67,212,156,639,472
2026-07-07,06:15:35,person,0.76,241,29,638,475
2026-07-07,06:15:35,person,0.8,247,21,638,473
2026-07-07,06:15:36,person,0.77,246,25,639,475
2026-07-07,06:15:40,person,0.66,229,171,638,474
2026-07-07,06:15:41,person,0.83,231,156,638,474
2026-07-07,06:15:41,person,0.78,235,141,638,475
2026-07-07,06:15:41,person,0.79,236,147,638,475
2026-07-07,06:15:41,person,0.79,235,96,638,474
2026-07-07,06:15:42,person,0.77,233,69,638,474
2026-07-07,06:15:42,person,0.72,231,48,638,476
2026-07-07,06:15:42,person,0.79,230,76,638,474
2026-07-07,06:15:42,person,0.78,227,161,638,474
2026-07-07,06:15:42,umbrella,0.79,71,14,638,470
2026-07-07,06:15:46,person,0.85,283,3,639,473
2026-07-07,06:15:46,person,0.82,284,2,638,473
2026-07-07,06:15:46,person,0.85,290,2,638,473
2026-07-07,06:15:46,person,0.8,305,3,638,473
2026-07-07,06:15:47,person,0.84,329,0,638,472
2026-07-07,06:15:48,person,0.84,365,20,639,474
2026-07-07,06:15:48,person,0.77,379,129,639,470
2026-07-07,06:15:49,person,0.87,155,2,638,472
2026-07-07,06:15:49,person,0.82,146,3,637,474
2026-07-07,06:15:51,remote,0.76,151,6,529,475
